,neighborhood,time,value,category
508,West End,1960.0,848.0,less than High School
509,West End,1960.0,232.0,High School or GED
510,West End,1960.0,75.0,Some College or Associate's Degree
511,West End,1960.0,115.0,Bachelor's Degree or Higher
512,West End,1970.0,596.0,less than High School
513,West End,1970.0,509.0,High School or GED
514,West End,1970.0,318.0,Some College or Associate's Degree
515,West End,1970.0,882.0,Bachelor's Degree or Higher
516,West End,1980.0,351.0,less than High School
517,West End,1980.0,637.0,High School or GED
518,West End,1980.0,654.0,Some College or Associate's Degree
519,West End,1980.0,1749.0,Bachelor's Degree or Higher
520,West End,1990.0,361.0,less than High School
521,West End,1990.0,307.0,High School or GED
522,West End,1990.0,491.0,Some College or Associate's Degree
523,West End,1990.0,1881.0,Bachelor's Degree or Higher
524,West End,2000.0,420.0,less than High School
525,West End,2000.0,485.0,High School or GED
526,West End,2000.0,606.0,Some College or Associate's Degree
527,West End,2000.0,2386.0,Bachelor's Degree or Higher
528,West Roxbury,1950.0,6754.0,less than High School
529,West Roxbury,1950.0,6190.0,High School or GED
530,West Roxbury,1950.0,1683.0,Some College or Associate's Degree
531,West Roxbury,1950.0,2117.0,Bachelor's Degree or Higher
532,West Roxbury,1960.0,7054.0,less than High School
533,West Roxbury,1960.0,6781.0,High School or GED
534,West Roxbury,1960.0,2298.0,Some College or Associate's Degree
535,West Roxbury,1960.0,2326.0,Bachelor's Degree or Higher
536,West Roxbury,1970.0,6343.0,less than High School
537,West Roxbury,1970.0,8796.0,High School or GED
538,West Roxbury,1970.0,2692.0,Some College or Associate's Degree
539,West Roxbury,1970.0,3198.0,Bachelor's Degree or Higher
540,West Roxbury,1980.0,4538.0,less than High School
541,West Roxbury,1980.0,8968.0,High School or GED
542,West Roxbury,1980.0,3490.0,Some College or Associate's Degree
543,West Roxbury,1980.0,4863.0,Bachelor's Degree or Higher
544,West Roxbury,1990.0,2864.0,less than High School
545,West Roxbury,1990.0,6839.0,High School or GED
546,West Roxbury,1990.0,4564.0,Some College or Associate's Degree
547,West Roxbury,1990.0,8106.0,Bachelor's Degree or Higher
548,West Roxbury,2000.0,2713.0,less than High School
549,West Roxbury,2000.0,5105.0,High School or GED
550,West Roxbury,2000.0,4717.0,Some College or Associate's Degree
551,West Roxbury,2000.0,8964.0,Bachelor's Degree or Higher
