,neighborhood,time,value,category
103,Charlestown,1960.0,287.0,Bachelor's Degree or Higher
104,Charlestown,1970.0,4549.0,less than High School
105,Charlestown,1970.0,3036.0,High School or GED
106,Charlestown,1970.0,382.0,Some College or Associate's Degree
107,Charlestown,1970.0,324.0,Bachelor's Degree or Higher
108,Charlestown,1980.0,2999.0,less than High School
109,Charlestown,1980.0,3239.0,High School or GED
110,Charlestown,1980.0,846.0,Some College or Associate's Degree
111,Charlestown,1980.0,1230.0,Bachelor's Degree or Higher
112,Charlestown,1990.0,1751.0,less than High School
113,Charlestown,1990.0,2744.0,High School or GED
114,Charlestown,1990.0,1817.0,Some College or Associate's Degree
115,Charlestown,1990.0,4124.0,Bachelor's Degree or Higher
116,Charlestown,2000.0,1466.0,less than High School
117,Charlestown,2000.0,2341.0,High School or GED
118,Charlestown,2000.0,1767.0,Some College or Associate's Degree
119,Charlestown,2000.0,5820.0,Bachelor's Degree or Higher
120,Dorchester,1950.0,53699.0,less than High School
121,Dorchester,1950.0,33561.0,High School or GED
122,Dorchester,1950.0,6028.0,Some College or Associate's Degree
123,Dorchester,1950.0,5367.0,Bachelor's Degree or Higher
124,Dorchester,1960.0,49999.0,less than High School
125,Dorchester,1960.0,29829.0,High School or GED
126,Dorchester,1960.0,5340.0,Some College or Associate's Degree
127,Dorchester,1960.0,4106.0,Bachelor's Degree or Higher
128,Dorchester,1970.0,37321.0,less than High School
129,Dorchester,1970.0,27999.0,High School or GED
130,Dorchester,1970.0,5182.0,Some College or Associate's Degree
131,Dorchester,1970.0,3260.0,Bachelor's Degree or Higher
132,Dorchester,1980.0,22172.0,less than High School
133,Dorchester,1980.0,24510.0,High School or GED
134,Dorchester,1980.0,6956.0,Some College or Associate's Degree
135,Dorchester,1980.0,5448.0,Bachelor's Degree or Higher
136,Dorchester,1990.0,21011.0,less than High School
137,Dorchester,1990.0,22206.0,High School or GED
138,Dorchester,1990.0,13294.0,Some College or Associate's Degree
139,Dorchester,1990.0,10469.0,Bachelor's Degree or Higher
140,Dorchester,2000.0,20297.0,less than High School
141,Dorchester,2000.0,21891.0,High School or GED
142,Dorchester,2000.0,16152.0,Some College or Associate's Degree
143,Dorchester,2000.0,12352.0,Bachelor's Degree or Higher
144,Downtown/Chinatown,1950.0,3085.0,less than High School
145,Downtown/Chinatown,1950.0,670.0,High School or GED
146,Downtown/Chinatown,1950.0,253.0,Some College or Associate's Degree
147,Downtown/Chinatown,1950.0,272.0,Bachelor's Degree or Higher
148,Downtown/Chinatown,1960.0,2743.0,less than High School
149,Downtown/Chinatown,1960.0,506.0,High School or GED
150,Downtown/Chinatown,1960.0,329.0,Some College or Associate's Degree
151,Downtown/Chinatown,1960.0,392.0,Bachelor's Degree or Higher
152,Downtown/Chinatown,1970.0,985.0,less than High School
153,Downtown/Chinatown,1970.0,658.0,High School or GED
154,Downtown/Chinatown,1970.0,330.0,Some College or Associate's Degree
155,Downtown/Chinatown,1970.0,517.0,Bachelor's Degree or Higher
156,Downtown/Chinatown,1980.0,2102.0,less than High School
157,Downtown/Chinatown,1980.0,1230.0,High School or GED
158,Downtown/Chinatown,1980.0,815.0,Some College or Associate's Degree
159,Downtown/Chinatown,1980.0,2086.0,Bachelor's Degree or Higher
160,Downtown/Chinatown,1990.0,2139.0,less than High School
161,Downtown/Chinatown,1990.0,1144.0,High School or GED
162,Downtown/Chinatown,1990.0,1035.0,Some College or Associate's Degree
163,Downtown/Chinatown,1990.0,2643.0,Bachelor's Degree or Higher
164,Downtown/Chinatown,2000.0,2789.0,less than High School
165,Downtown/Chinatown,2000.0,1150.0,High School or GED
166,Downtown/Chinatown,2000.0,844.0,Some College or Associate's Degree
167,Downtown/Chinatown,2000.0,3450.0,Bachelor's Degree or Higher
168,East Boston,1950.0,20945.0,less than High School
169,East Boston,1950.0,5990.0,High School or GED
170,East Boston,1950.0,860.0,Some College or Associate's Degree
171,East Boston,1950.0,600.0,Bachelor's Degree or Higher
172,East Boston,1960.0,18378.0,less than High School
173,East Boston,1960.0,6108.0,High School or GED
174,East Boston,1960.0,732.0,Some College or Associate's Degree
175,East Boston,1960.0,553.0,Bachelor's Degree or Higher
176,East Boston,1970.0,14441.0,less than High School
177,East Boston,1970.0,6364.0,High School or GED
178,East Boston,1970.0,1040.0,Some College or Associate's Degree
179,East Boston,1970.0,575.0,Bachelor's Degree or Higher
180,East Boston,1980.0,10752.0,less than High School
181,East Boston,1980.0,7662.0,High School or GED
182,East Boston,1980.0,1408.0,Some College or Associate's Degree
183,East Boston,1980.0,1001.0,Bachelor's Degree or Higher
184,East Boston,1990.0,9055.0,less than High School
185,East Boston,1990.0,7755.0,High School or GED
186,East Boston,1990.0,3411.0,Some College or Associate's Degree
187,East Boston,1990.0,1992.0,Bachelor's Degree or Higher
188,East Boston,2000.0,10009.0,less than High School
189,East Boston,2000.0,8265.0,High School or GED
190,East Boston,2000.0,3954.0,Some College or Associate's Degree
191,East Boston,2000.0,2591.0,Bachelor's Degree or Higher
192,Fenway,1950.0,5814.0,less than High School
193,Fenway,1950.0,6272.0,High School or GED
194,Fenway,1950.0,2745.0,Some College or Associate's Degree
195,Fenway,1950.0,2620.0,Bachelor's Degree or Higher
196,Fenway,1960.0,5658.0,less than High School
197,Fenway,1960.0,3832.0,High School or GED
198,Fenway,1960.0,2289.0,Some College or Associate's Degree
199,Fenway,1960.0,3056.0,Bachelor's Degree or Higher
200,Fenway,1970.0,2759.0,less than High School
201,Fenway,1970.0,2919.0,High School or GED
202,Fenway,1970.0,1576.0,Some College or Associate's Degree
203,Fenway,1970.0,2327.0,Bachelor's Degree or Higher
204,Fenway,1980.0,1246.0,less than High School
205,Fenway,1980.0,1842.0,High School or GED
206,Fenway,1980.0,2000.0,Some College or Associate's Degree
207,Fenway,1980.0,4027.0,Bachelor's Degree or Higher
208,Fenway,1990.0,1102.0,less than High School
209,Fenway,1990.0,1332.0,High School or GED
210,Fenway,1990.0,2409.0,Some College or Associate's Degree
211,Fenway,1990.0,5874.0,Bachelor's Degree or Higher
212,Fenway,2000.0,938.0,less than High School
213,Fenway,2000.0,1094.0,High School or GED
214,Fenway,2000.0,1718.0,Some College or Associate's Degree
215,Fenway,2000.0,7410.0,Bachelor's Degree or Higher
216,Harbor Islands,1950.0,535.0,less than High School
217,Harbor Islands,1950.0,105.0,High School or GED
218,Harbor Islands,1950.0,60.0,Some College or Associate's Degree
219,Harbor Islands,1950.0,10.0,Bachelor's Degree or Higher
220,Harbor Islands,1960.0,1038.0,less than High School
221,Harbor Islands,1960.0,399.0,High School or GED
222,Harbor Islands,1960.0,71.0,Some College or Associate's Degree
223,Harbor Islands,1960.0,36.0,Bachelor's Degree or Higher
224,Harbor Islands,1970.0,782.0,less than High School
225,Harbor Islands,1970.0,85.0,High School or GED
226,Harbor Islands,1970.0,38.0,Some College or Associate's Degree
227,Harbor Islands,1970.0,27.0,Bachelor's Degree or Higher
228,Harbor Islands,1980.0,59.0,less than High School
229,Harbor Islands,1980.0,107.0,High School or GED
230,Harbor Islands,1980.0,22.0,Some College or Associate's Degree
231,Harbor Islands,1980.0,161.0,Bachelor's Degree or Higher
232,Harbor Islands,1990.0,623.0,less than High School
233,Harbor Islands,1990.0,232.0,High School or GED
234,Harbor Islands,1990.0,83.0,Some College or Associate's Degree
235,Harbor Islands,1990.0,27.0,Bachelor's Degree or Higher
236,Harbor Islands,2000.0,285.0,less than High School
237,Harbor Islands,2000.0,168.0,High School or GED
238,Harbor Islands,2000.0,133.0,Some College or Associate's Degree
239,Harbor Islands,2000.0,40.0,Bachelor's Degree or Higher
240,Hyde Park,1950.0,8227.0,less than High School
241,Hyde Park,1950.0,4952.0,High School or GED
242,Hyde Park,1950.0,1196.0,Some College or Associate's Degree
243,Hyde Park,1950.0,869.0,Bachelor's Degree or Higher
244,Hyde Park,1960.0,8209.0,less than High School
245,Hyde Park,1960.0,6300.0,High School or GED
246,Hyde Park,1960.0,1323.0,Some College or Associate's Degree
247,Hyde Park,1960.0,896.0,Bachelor's Degree or Higher
248,Hyde Park,1970.0,7919.0,less than High School
249,Hyde Park,1970.0,8848.0,High School or GED
250,Hyde Park,1970.0,1780.0,Some College or Associate's Degree
251,Hyde Park,1970.0,1494.0,Bachelor's Degree or Higher
252,Hyde Park,1980.0,5723.0,less than High School
253,Hyde Park,1980.0,8369.0,High School or GED
254,Hyde Park,1980.0,2538.0,Some College or Associate's Degree
255,Hyde Park,1980.0,2112.0,Bachelor's Degree or Higher
256,Hyde Park,1990.0,4273.0,less than High School
257,Hyde Park,1990.0,7515.0,High School or GED
258,Hyde Park,1990.0,4706.0,Some College or Associate's Degree
259,Hyde Park,1990.0,3907.0,Bachelor's Degree or Higher
260,Hyde Park,2000.0,4105.0,less than High School
261,Hyde Park,2000.0,6828.0,High School or GED
262,Hyde Park,2000.0,5736.0,Some College or Associate's Degree
263,Hyde Park,2000.0,4273.0,Bachelor's Degree or Higher
264,Jamaica Plain,1950.0,15427.0,less than High School
265,Jamaica Plain,1950.0,9928.0,High School or GED
266,Jamaica Plain,1950.0,1835.0,Some College or Associate's Degree
267,Jamaica Plain,1950.0,2068.0,Bachelor's Degree or Higher
268,Jamaica Plain,1960.0,17545.0,less than High School
269,Jamaica Plain,1960.0,8977.0,High School or GED
270,Jamaica Plain,1960.0,2530.0,Some College or Associate's Degree
271,Jamaica Plain,1960.0,2213.0,Bachelor's Degree or Higher
272,Jamaica Plain,1970.0,13333.0,less than High School
273,Jamaica Plain,1970.0,8309.0,High School or GED
274,Jamaica Plain,1970.0,2148.0,Some College or Associate's Degree
275,Jamaica Plain,1970.0,2592.0,Bachelor's Degree or Higher
276,Jamaica Plain,1980.0,7530.0,less than High School
277,Jamaica Plain,1980.0,6943.0,High School or GED
278,Jamaica Plain,1980.0,2673.0,Some College or Associate's Degree
279,Jamaica Plain,1980.0,5193.0,Bachelor's Degree or Higher
280,Jamaica Plain,1990.0,6007.0,less than High School
281,Jamaica Plain,1990.0,5093.0,High School or GED
282,Jamaica Plain,1990.0,4559.0,Some College or Associate's Degree
283,Jamaica Plain,1990.0,9327.0,Bachelor's Degree or Higher
284,Jamaica Plain,2000.0,4568.0,less than High School
285,Jamaica Plain,2000.0,4395.0,High School or GED
286,Jamaica Plain,2000.0,4668.0,Some College or Associate's Degree
287,Jamaica Plain,2000.0,11137.0,Bachelor's Degree or Higher
288,Longwood Medical Area,1950.0,535.0,less than High School
289,Longwood Medical Area,1950.0,417.0,High School or GED
290,Longwood Medical Area,1950.0,173.0,Some College or Associate's Degree
291,Longwood Medical Area,1950.0,343.0,Bachelor's Degree or Higher
292,Longwood Medical Area,1960.0,725.0,less than High School
